# packages in environment at /ext3/miniforge3/envs/BiaPy_env:
#
# Name                                  Version          Build                               Channel
_openmp_mutex                           4.5              7_kmp_llvm                          conda-forge
[14:02:23.381795] Epoch: [4]  [280/458]  eta: 0:01:20  loss: 0.7415 (0.8598)  IoU (F channel): 0.0000 (0.0010)  IoU (C channel): 0.0036 (0.0051)  L1 (Db channel): 0.5263 (0.4788)  L1 (Dn channel): 0.2987 (0.2501)  lr: 0.000374  iter-time: 0.4413
[14:02:27.794988] Epoch: [4]  [290/458]  eta: 0:01:15  loss: 0.6795 (0.8561)  IoU (F channel): 0.0000 (0.0010)  IoU (C channel): 0.0008 (0.0049)  L1 (Db channel): 0.5043 (0.4795)  L1 (Dn channel): 0.2962 (0.2514)  lr: 0.000377  iter-time: 0.4409
[14:02:32.194929] Epoch: [4]  [300/458]  eta: 0:01:11  loss: 0.6634 (0.8506)  IoU (F channel): 0.0000 (0.0009)  IoU (C channel): 0.0003 (0.0048)  L1 (Db channel): 0.4783 (0.4793)  L1 (Dn channel): 0.2827 (0.2524)  lr: 0.000381  iter-time: 0.4405
[14:02:36.612689] Epoch: [4]  [310/458]  eta: 0:01:06  loss: 0.6682 (0.8470)  IoU (F channel): 0.0000 (0.0009)  IoU (C channel): 0.0001 (0.0047)  L1 (Db channel): 0.4627 (0.4785)  L1 (Dn channel): 0.2763 (0.2531)  lr: 0.000384  iter-time: 0.4408
[14:02:41.010343] Epoch: [4]  [320/458]  eta: 0:01:02  loss: 0.7094 (0.8428)  IoU (F channel): 0.0000 (0.0009)  IoU (C channel): 0.0001 (0.0046)  L1 (Db channel): 0.4539 (0.4777)  L1 (Dn channel): 0.2767 (0.2541)  lr: 0.000388  iter-time: 0.4407
[14:02:45.407008] Epoch: [4]  [330/458]  eta: 0:00:57  loss: 0.7240 (0.8404)  IoU (F channel): 0.0000 (0.0009)  IoU (C channel): 0.0001 (0.0044)  L1 (Db channel): 0.4445 (0.4766)  L1 (Dn channel): 0.2806 (0.2548)  lr: 0.000392  iter-time: 0.4396
[14:02:49.824286] Epoch: [4]  [340/458]  eta: 0:00:53  loss: 0.7611 (0.8380)  IoU (F channel): 0.0000 (0.0008)  IoU (C channel): 0.0001 (0.0043)  L1 (Db channel): 0.4454 (0.4760)  L1 (Dn channel): 0.2719 (0.2553)  lr: 0.000395  iter-time: 0.4406
[14:02:54.226267] Epoch: [4]  [350/458]  eta: 0:00:48  loss: 0.7415 (0.8341)  IoU (F channel): 0.0000 (0.0008)  IoU (C channel): 0.0001 (0.0042)  L1 (Db channel): 0.4539 (0.4751)  L1 (Dn channel): 0.2705 (0.2558)  lr: 0.000399  iter-time: 0.4409
[14:02:58.640770] Epoch: [4]  [360/458]  eta: 0:00:43  loss: 0.6206 (0.8277)  IoU (F channel): 0.0000 (0.0008)  IoU (C channel): 0.0002 (0.0041)  L1 (Db channel): 0.4563 (0.4750)  L1 (Dn channel): 0.2781 (0.2567)  lr: 0.000402  iter-time: 0.4408
[14:03:03.039783] Epoch: [4]  [370/458]  eta: 0:00:39  loss: 0.6058 (0.8225)  IoU (F channel): 0.0000 (0.0008)  IoU (C channel): 0.0002 (0.0040)  L1 (Db channel): 0.4902 (0.4755)  L1 (Dn channel): 0.2917 (0.2576)  lr: 0.000406  iter-time: 0.4406
[14:03:07.443162] Epoch: [4]  [380/458]  eta: 0:00:34  loss: 0.6281 (0.8195)  IoU (F channel): 0.0000 (0.0008)  IoU (C channel): 0.0001 (0.0039)  L1 (Db channel): 0.4925 (0.4760)  L1 (Dn channel): 0.2857 (0.2583)  lr: 0.000409  iter-time: 0.4400
[14:03:11.858415] Epoch: [4]  [390/458]  eta: 0:00:30  loss: 0.6104 (0.8141)  IoU (F channel): 0.0000 (0.0007)  IoU (C channel): 0.0000 (0.0038)  L1 (Db channel): 0.4834 (0.4760)  L1 (Dn channel): 0.2860 (0.2591)  lr: 0.000413  iter-time: 0.4408
[14:03:16.257497] Epoch: [4]  [400/458]  eta: 0:00:25  loss: 0.5638 (0.8081)  IoU (F channel): 0.0000 (0.0007)  IoU (C channel): 0.0001 (0.0037)  L1 (Db channel): 0.4750 (0.4759)  L1 (Dn channel): 0.2917 (0.2600)  lr: 0.000416  iter-time: 0.4407
[14:03:20.658073] Epoch: [4]  [410/458]  eta: 0:00:21  loss: 0.5581 (0.8045)  IoU (F channel): 0.0000 (0.0007)  IoU (C channel): 0.0007 (0.0037)  L1 (Db channel): 0.4697 (0.4757)  L1 (Dn channel): 0.2962 (0.2609)  lr: 0.000420  iter-time: 0.4399
[14:03:25.076784] Epoch: [4]  [420/458]  eta: 0:00:17  loss: 0.5543 (0.7993)  IoU (F channel): 0.0000 (0.0007)  IoU (C channel): 0.0002 (0.0036)  L1 (Db channel): 0.4747 (0.4758)  L1 (Dn channel): 0.2944 (0.2617)  lr: 0.000424  iter-time: 0.4409
[14:03:29.512426] Epoch: [4]  [430/458]  eta: 0:00:12  loss: 0.5441 (0.7955)  IoU (F channel): 0.0000 (0.0007)  IoU (C channel): 0.0001 (0.0035)  L1 (Db channel): 0.4657 (0.4753)  L1 (Dn channel): 0.2944 (0.2625)  lr: 0.000427  iter-time: 0.4426
[14:03:33.910479] Epoch: [4]  [440/458]  eta: 0:00:08  loss: 0.5368 (0.7913)  IoU (F channel): 0.0000 (0.0007)  IoU (C channel): 0.0003 (0.0035)  L1 (Db channel): 0.4635 (0.4754)  L1 (Dn channel): 0.2980 (0.2634)  lr: 0.000431  iter-time: 0.4416
[14:03:38.311075] Epoch: [4]  [450/458]  eta: 0:00:03  loss: 0.5620 (0.7873)  IoU (F channel): 0.0000 (0.0007)  IoU (C channel): 0.0002 (0.0034)  L1 (Db channel): 0.4868 (0.4759)  L1 (Dn channel): 0.3096 (0.2645)  lr: 0.000434  iter-time: 0.4399
[14:03:41.150190] Epoch: [4]  [457/458]  eta: 0:00:00  loss: 0.6109 (0.7846)  IoU (F channel): 0.0000 (0.0007)  IoU (C channel): 0.0001 (0.0034)  L1 (Db channel): 0.4868 (0.4760)  L1 (Dn channel): 0.3100 (0.2651)  lr: 0.000437  iter-time: 0.4279
[14:03:41.457995] Epoch: [4] Total time: 0:03:24 (0.4474 s / it)
[14:03:41.458107] [Train] averaged stats: loss: 0.6109 (0.7846)  IoU (F channel): 0.0000 (0.0007)  IoU (C channel): 0.0001 (0.0034)  L1 (Db channel): 0.4868 (0.4760)  L1 (Dn channel): 0.3100 (0.2651)  lr: 0.000437
[14:03:43.485004] Epoch: [4]  [ 0/52]  eta: 0:01:45  loss: 0.2892 (0.2892)  IoU (F channel): 0.0000 (0.0000)  IoU (C channel): 0.0000 (0.0000)  L1 (Db channel): 0.5601 (0.5601)  L1 (Dn channel): 0.3967 (0.3967)  iter-time: 2.0258
[14:03:45.095620] Epoch: [4]  [10/52]  eta: 0:00:13  loss: 0.5488 (0.4986)  IoU (F channel): 0.0000 (0.0000)  IoU (C channel): 0.0000 (0.0000)  L1 (Db channel): 0.5209 (0.5244)  L1 (Dn channel): 0.3358 (0.3258)  iter-time: 0.3305
[14:03:46.763726] Epoch: [4]  [20/52]  eta: 0:00:08  loss: 0.6293 (0.5737)  IoU (F channel): 0.0000 (0.0000)  IoU (C channel): 0.0000 (0.0000)  L1 (Db channel): 0.4568 (0.4765)  L1 (Dn channel): 0.2091 (0.2591)  iter-time: 0.1639
[14:03:48.344476] Epoch: [4]  [30/52]  eta: 0:00:04  loss: 0.6161 (0.5187)  IoU (F channel): 0.0000 (0.0000)  IoU (C channel): 0.0000 (0.0000)  L1 (Db channel): 0.4566 (0.4900)  L1 (Dn channel): 0.2162 (0.2859)  iter-time: 0.1624
[14:03:49.946065] Epoch: [4]  [40/52]  eta: 0:00:02  loss: 0.5110 (0.5579)  IoU (F channel): 0.0000 (0.0000)  IoU (C channel): 0.0000 (0.0000)  L1 (Db channel): 0.4482 (0.4687)  L1 (Dn channel): 0.2618 (0.2744)  iter-time: 0.1591
[14:03:51.497608] Epoch: [4]  [50/52]  eta: 0:00:00  loss: 0.6060 (0.5643)  IoU (F channel): 0.0000 (0.0000)  IoU (C channel): 0.0000 (0.0000)  L1 (Db channel): 0.4176 (0.4706)  L1 (Dn channel): 0.2362 (0.2778)  iter-time: 0.1576
[14:03:51.588573] Epoch: [4]  [51/52]  eta: 0:00:00  loss: 0.5657 (0.5589)  IoU (F channel): 0.0000 (0.0000)  IoU (C channel): 0.0000 (0.0000)  L1 (Db channel): 0.4176 (0.4724)  L1 (Dn channel): 0.2362 (0.2799)  iter-time: 0.1539
[14:03:51.899926] Epoch: [4] Total time: 0:00:10 (0.2008 s / it)
[14:03:51.899950] [Val] averaged stats: loss: 0.5657 (0.5589)  IoU (F channel): 0.0000 (0.0000)  IoU (C channel): 0.0000 (0.0000)  L1 (Db channel): 0.4176 (0.4724)  L1 (Dn channel): 0.2362 (0.2799)
[14:03:51.900908] Val loss improved from 0.967254074720236 to 0.5588592852537448, saving model to ./BiaPy/results/train_Dn_3d_instance_segmentation/checkpoints/train_Dn_3d_instance_segmentation_1-checkpoint-best.pth
[14:03:52.002603] [Val] best loss: 0.5589 best  IoU (F channel): 0.0000 IoU (C channel): 0.0000 L1 (Db channel): 0.4724 L1 (Dn channel): 0.2799 
[14:03:52.016806] [Time] 3.6m 15.5m/1.9h

[14:03:52.016819] ~~~ Epoch 5/30 ~~~

[14:03:55.198101] Epoch: [5]  [  0/458]  eta: 0:24:16  loss: 0.6802 (0.6802)  IoU (F channel): 0.0000 (0.0000)  IoU (C channel): 0.0000 (0.0000)  L1 (Db channel): 0.4737 (0.4737)  L1 (Dn channel): 0.3054 (0.3054)  lr: 0.000437  iter-time: 3.1799
[14:03:59.864446] Epoch: [5]  [ 10/458]  eta: 0:05:19  loss: 0.6610 (0.6580)  IoU (F channel): 0.0000 (0.0000)  IoU (C channel): 0.0000 (0.0001)  L1 (Db channel): 0.4767 (0.4768)  L1 (Dn channel): 0.3031 (0.3029)  lr: 0.000441  iter-time: 0.7132
[14:04:04.268094] Epoch: [5]  [ 20/458]  eta: 0:04:15  loss: 0.5827 (0.6368)  IoU (F channel): 0.0000 (0.0000)  IoU (C channel): 0.0000 (0.0001)  L1 (Db channel): 0.4767 (0.4759)  L1 (Dn channel): 0.3044 (0.3055)  lr: 0.000444  iter-time: 0.4534
[14:04:08.673209] Epoch: [5]  [ 30/458]  eta: 0:03:49  loss: 0.5356 (0.6190)  IoU (F channel): 0.0000 (0.0003)  IoU (C channel): 0.0000 (0.0006)  L1 (Db channel): 0.4744 (0.4761)  L1 (Dn channel): 0.3081 (0.3060)  lr: 0.000448  iter-time: 0.4403
[14:04:13.096153] Epoch: [5]  [ 40/458]  eta: 0:03:34  loss: 0.5379 (0.6030)  IoU (F channel): 0.0000 (0.0003)  IoU (C channel): 0.0000 (0.0005)  L1 (Db channel): 0.4690 (0.4738)  L1 (Dn channel): 0.2989 (0.3030)  lr: 0.000452  iter-time: 0.4413
[14:04:17.502839] Epoch: [5]  [ 50/458]  eta: 0:03:23  loss: 0.4904 (0.5944)  IoU (F channel): 0.0000 (0.0003)  IoU (C channel): 0.0000 (0.0004)  L1 (Db channel): 0.4747 (0.4769)  L1 (Dn channel): 0.2973 (0.3034)  lr: 0.000455  iter-time: 0.4414
[14:04:21.908676] Epoch: [5]  [ 60/458]  eta: 0:03:14  loss: 0.5641 (0.5932)  IoU (F channel): 0.0000 (0.0002)  IoU (C channel): 0.0000 (0.0004)  L1 (Db channel): 0.4979 (0.4814)  L1 (Dn channel): 0.3106 (0.3051)  lr: 0.000459  iter-time: 0.4405
[14:04:26.340371] Epoch: [5]  [ 70/458]  eta: 0:03:07  loss: 0.5570 (0.5844)  IoU (F channel): 0.0000 (0.0002)  IoU (C channel): 0.0000 (0.0003)  L1 (Db channel): 0.4979 (0.4828)  L1 (Dn channel): 0.3117 (0.3058)  lr: 0.000463  iter-time: 0.4418
[14:04:30.739585] Epoch: [5]  [ 80/458]  eta: 0:03:00  loss: 0.4988 (0.5779)  IoU (F channel): 0.0000 (0.0002)  IoU (C channel): 0.0000 (0.0003)  L1 (Db channel): 0.4869 (0.4831)  L1 (Dn channel): 0.3115 (0.3066)  lr: 0.000466  iter-time: 0.4414
[14:04:35.153395] Epoch: [5]  [ 90/458]  eta: 0:02:54  loss: 0.5495 (0.5872)  IoU (F channel): 0.0000 (0.0001)  IoU (C channel): 0.0000 (0.0003)  L1 (Db channel): 0.4598 (0.4789)  L1 (Dn channel): 0.3147 (0.3081)  lr: 0.000470  iter-time: 0.4406
[14:04:39.570172] Epoch: [5]  [100/458]  eta: 0:02:48  loss: 0.5227 (0.5831)  IoU (F channel): 0.0000 (0.0001)  IoU (C channel): 0.0000 (0.0002)  L1 (Db channel): 0.4499 (0.4763)  L1 (Dn channel): 0.3148 (0.3085)  lr: 0.000473  iter-time: 0.4414
[14:04:43.985479] Epoch: [5]  [110/458]  eta: 0:02:42  loss: 0.5039 (0.5762)  IoU (F channel): 0.0000 (0.0001)  IoU (C channel): 0.0000 (0.0002)  L1 (Db channel): 0.4508 (0.4738)  L1 (Dn channel): 0.3130 (0.3090)  lr: 0.000477  iter-time: 0.4415
[14:04:48.403200] Epoch: [5]  [120/458]  eta: 0:02:37  loss: 0.4525 (0.5668)  IoU (F channel): 0.0000 (0.0001)  IoU (C channel): 0.0000 (0.0002)  L1 (Db channel): 0.4369 (0.4704)  L1 (Dn channel): 0.3114 (0.3092)  lr: 0.000481  iter-time: 0.4415
[14:04:52.801495] Epoch: [5]  [130/458]  eta: 0:02:32  loss: 0.4599 (0.5629)  IoU (F channel): 0.0000 (0.0001)  IoU (C channel): 0.0000 (0.0002)  L1 (Db channel): 0.4540 (0.4706)  L1 (Dn channel): 0.3107 (0.3095)  lr: 0.000484  iter-time: 0.4407
[14:04:57.221477] Epoch: [5]  [140/458]  eta: 0:02:27  loss: 0.4832 (0.5596)  IoU (F channel): 0.0000 (0.0001)  IoU (C channel): 0.0000 (0.0002)  L1 (Db channel): 0.4731 (0.4698)  L1 (Dn channel): 0.3102 (0.3094)  lr: 0.000488  iter-time: 0.4408
[14:05:01.618054] Epoch: [5]  [150/458]  eta: 0:02:21  loss: 0.4722 (0.5527)  IoU (F channel): 0.0000 (0.0001)  IoU (C channel): 0.0000 (0.0002)  L1 (Db channel): 0.4644 (0.4694)  L1 (Dn channel): 0.3108 (0.3100)  lr: 0.000492  iter-time: 0.4407
[14:05:06.019008] Epoch: [5]  [160/458]  eta: 0:02:16  loss: 0.4745 (0.5510)  IoU (F channel): 0.0000 (0.0001)  IoU (C channel): 0.0000 (0.0002)  L1 (Db channel): 0.4665 (0.4696)  L1 (Dn channel): 0.3205 (0.3106)  lr: 0.000495  iter-time: 0.4398
[14:05:10.421260] Epoch: [5]  [170/458]  eta: 0:02:12  loss: 0.4935 (0.5501)  IoU (F channel): 0.0000 (0.0001)  IoU (C channel): 0.0000 (0.0002)  L1 (Db channel): 0.4743 (0.4701)  L1 (Dn channel): 0.3219 (0.3114)  lr: 0.000499  iter-time: 0.4401
[14:05:14.848573] Epoch: [5]  [180/458]  eta: 0:02:07  loss: 0.5005 (0.5497)  IoU (F channel): 0.0000 (0.0001)  IoU (C channel): 0.0000 (0.0002)  L1 (Db channel): 0.4763 (0.4708)  L1 (Dn channel): 0.3221 (0.3120)  lr: 0.000503  iter-time: 0.4414
[14:05:19.241691] Epoch: [5]  [190/458]  eta: 0:02:02  loss: 0.5005 (0.5461)  IoU (F channel): 0.0000 (0.0001)  IoU (C channel): 0.0000 (0.0002)  L1 (Db channel): 0.4769 (0.4716)  L1 (Dn channel): 0.3231 (0.3126)  lr: 0.000506  iter-time: 0.4409
[14:05:23.656047] Epoch: [5]  [200/458]  eta: 0:01:57  loss: 0.4712 (0.5434)  IoU (F channel): 0.0000 (0.0001)  IoU (C channel): 0.0000 (0.0002)  L1 (Db channel): 0.4981 (0.4733)  L1 (Dn channel): 0.3288 (0.3136)  lr: 0.000510  iter-time: 0.4403
[14:05:28.060282] Epoch: [5]  [210/458]  eta: 0:01:52  loss: 0.4485 (0.5384)  IoU (F channel): 0.0000 (0.0001)  IoU (C channel): 0.0000 (0.0002)  L1 (Db channel): 0.4655 (0.4726)  L1 (Dn channel): 0.3291 (0.3143)  lr: 0.000514  iter-time: 0.4408
[14:05:32.487930] Epoch: [5]  [220/458]  eta: 0:01:48  loss: 0.4781 (0.5370)  IoU (F channel): 0.0000 (0.0001)  IoU (C channel): 0.0000 (0.0002)  L1 (Db channel): 0.4618 (0.4723)  L1 (Dn channel): 0.3260 (0.3148)  lr: 0.000517  iter-time: 0.4415
[14:05:36.907608] Epoch: [5]  [230/458]  eta: 0:01:43  loss: 0.4630 (0.5334)  IoU (F channel): 0.0000 (0.0001)  IoU (C channel): 0.0000 (0.0002)  L1 (Db channel): 0.4536 (0.4707)  L1 (Dn channel): 0.3260 (0.3153)  lr: 0.000521  iter-time: 0.4422
[14:05:41.338011] Epoch: [5]  [240/458]  eta: 0:01:38  loss: 0.4213 (0.5294)  IoU (F channel): 0.0000 (0.0001)  IoU (C channel): 0.0000 (0.0002)  L1 (Db channel): 0.4644 (0.4742)  L1 (Dn channel): 0.3295 (0.3160)  lr: 0.000525  iter-time: 0.4424
[14:05:45.758347] Epoch: [5]  [250/458]  eta: 0:01:34  loss: 0.3900 (0.5259)  IoU (F channel): 0.0000 (0.0001)  IoU (C channel): 0.0000 (0.0002)  L1 (Db channel): 0.5468 (0.4764)  L1 (Dn channel): 0.3348 (0.3169)  lr: 0.000528  iter-time: 0.4424
[14:05:50.165288] Epoch: [5]  [260/458]  eta: 0:01:29  loss: 0.3935 (0.5229)  IoU (F channel): 0.0000 (0.0001)  IoU (C channel): 0.0000 (0.0002)  L1 (Db channel): 0.5012 (0.4771)  L1 (Dn channel): 0.3338 (0.3173)  lr: 0.000532  iter-time: 0.4413
[14:05:54.608452] Epoch: [5]  [270/458]  eta: 0:01:25  loss: 0.4308 (0.5198)  IoU (F channel): 0.0000 (0.0001)  IoU (C channel): 0.0000 (0.0002)  L1 (Db channel): 0.4881 (0.4771)  L1 (Dn channel): 0.3248 (0.3176)  lr: 0.000536  iter-time: 0.4424
[14:05:59.011620] Epoch: [5]  [280/458]  eta: 0:01:20  loss: 0.4087 (0.5155)  IoU (F channel): 0.0000 (0.0001)  IoU (C channel): 0.0000 (0.0002)  L1 (Db channel): 0.4696 (0.4769)  L1 (Dn channel): 0.3266 (0.3180)  lr: 0.000539  iter-time: 0.4422
[14:06:03.430455] Epoch: [5]  [290/458]  eta: 0:01:15  loss: 0.3704 (0.5102)  IoU (F channel): 0.0000 (0.0001)  IoU (C channel): 0.0000 (0.0002)  L1 (Db channel): 0.4956 (0.4783)  L1 (Dn channel): 0.3331 (0.3188)  lr: 0.000543  iter-time: 0.4410
[14:06:07.840600] Epoch: [5]  [300/458]  eta: 0:01:11  loss: 0.3736 (0.5072)  IoU (F channel): 0.0000 (0.0001)  IoU (C channel): 0.0000 (0.0001)  L1 (Db channel): 0.4932 (0.4782)  L1 (Dn channel): 0.3376 (0.3193)  lr: 0.000547  iter-time: 0.4414
[14:06:12.242329] Epoch: [5]  [310/458]  eta: 0:01:06  loss: 0.4096 (0.5042)  IoU (F channel): 0.0000 (0.0001)  IoU (C channel): 0.0000 (0.0001)  L1 (Db channel): 0.4787 (0.4783)  L1 (Dn channel): 0.3291 (0.3196)  lr: 0.000550  iter-time: 0.4405
[14:06:16.644650] Epoch: [5]  [320/458]  eta: 0:01:02  loss: 0.4096 (0.5033)  IoU (F channel): 0.0000 (0.0001)  IoU (C channel): 0.0000 (0.0001)  L1 (Db channel): 0.4667 (0.4777)  L1 (Dn channel): 0.3263 (0.3197)  lr: 0.000554  iter-time: 0.4401
[14:06:21.060391] Epoch: [5]  [330/458]  eta: 0:00:57  loss: 0.3877 (0.5005)  IoU (F channel): 0.0000 (0.0001)  IoU (C channel): 0.0000 (0.0001)  L1 (Db channel): 0.4589 (0.4771)  L1 (Dn channel): 0.3250 (0.3199)  lr: 0.000557  iter-time: 0.4408
[14:06:25.500299] Epoch: [5]  [340/458]  eta: 0:00:53  loss: 0.3840 (0.4969)  IoU (F channel): 0.0000 (0.0001)  IoU (C channel): 0.0000 (0.0001)  L1 (Db channel): 0.4622 (0.4769)  L1 (Dn channel): 0.3304 (0.3206)  lr: 0.000561  iter-time: 0.4427
[14:06:29.935310] Epoch: [5]  [350/458]  eta: 0:00:48  loss: 0.3637 (0.4932)  IoU (F channel): 0.0000 (0.0001)  IoU (C channel): 0.0000 (0.0001)  L1 (Db channel): 0.4625 (0.4762)  L1 (Dn channel): 0.3424 (0.3212)  lr: 0.000565  iter-time: 0.4432
[14:06:34.352022] Epoch: [5]  [360/458]  eta: 0:00:44  loss: 0.3240 (0.4904)  IoU (F channel): 0.0000 (0.0001)  IoU (C channel): 0.0000 (0.0001)  L1 (Db channel): 0.4615 (0.4759)  L1 (Dn channel): 0.3406 (0.3217)  lr: 0.000568  iter-time: 0.4420
[14:06:38.768217] Epoch: [5]  [370/458]  eta: 0:00:39  loss: 0.3206 (0.4868)  IoU (F channel): 0.0000 (0.0001)  IoU (C channel): 0.0000 (0.0001)  L1 (Db channel): 0.4702 (0.4759)  L1 (Dn channel): 0.3353 (0.3218)  lr: 0.000572  iter-time: 0.4415
[14:06:43.183039] Epoch: [5]  [380/458]  eta: 0:00:35  loss: 0.3300 (0.4836)  IoU (F channel): 0.0000 (0.0001)  IoU (C channel): 0.0000 (0.0001)  L1 (Db channel): 0.4703 (0.4756)  L1 (Dn channel): 0.3228 (0.3218)  lr: 0.000576  iter-time: 0.4415
[14:06:47.585493] Epoch: [5]  [390/458]  eta: 0:00:30  loss: 0.3837 (0.4828)  IoU (F channel): 0.0000 (0.0001)  IoU (C channel): 0.0000 (0.0001)  L1 (Db channel): 0.4703 (0.4755)  L1 (Dn channel): 0.3242 (0.3219)  lr: 0.000579  iter-time: 0.4408
[14:06:51.985734] Epoch: [5]  [400/458]  eta: 0:00:26  loss: 0.3571 (0.4792)  IoU (F channel): 0.0000 (0.0001)  IoU (C channel): 0.0000 (0.0001)  L1 (Db channel): 0.4498 (0.4745)  L1 (Dn channel): 0.3236 (0.3219)  lr: 0.000583  iter-time: 0.4401
[14:06:56.386941] Epoch: [5]  [410/458]  eta: 0:00:21  loss: 0.3408 (0.4769)  IoU (F channel): 0.0000 (0.0001)  IoU (C channel): 0.0000 (0.0001)  L1 (Db channel): 0.4318 (0.4734)  L1 (Dn channel): 0.3263 (0.3221)  lr: 0.000587  iter-time: 0.4400
[14:07:00.807220] Epoch: [5]  [420/458]  eta: 0:00:17  loss: 0.3652 (0.4753)  IoU (F channel): 0.0000 (0.0001)  IoU (C channel): 0.0000 (0.0001)  L1 (Db channel): 0.4320 (0.4724)  L1 (Dn channel): 0.3289 (0.3222)  lr: 0.000590  iter-time: 0.4410
[14:07:05.209315] Epoch: [5]  [430/458]  eta: 0:00:12  loss: 0.3828 (0.4719)  IoU (F channel): 0.0000 (0.0001)  IoU (C channel): 0.0000 (0.0001)  L1 (Db channel): 0.4430 (0.4719)  L1 (Dn channel): 0.3296 (0.3225)  lr: 0.000594  iter-time: 0.4410
[14:07:09.620504] Epoch: [5]  [440/458]  eta: 0:00:08  loss: 0.3165 (0.4705)  IoU (F channel): 0.0000 (0.0001)  IoU (C channel): 0.0000 (0.0001)  L1 (Db channel): 0.4564 (0.4716)  L1 (Dn channel): 0.3349 (0.3228)  lr: 0.000597  iter-time: 0.4405
[14:07:14.024031] Epoch: [5]  [450/458]  eta: 0:00:03  loss: 0.3639 (0.4684)  IoU (F channel): 0.0000 (0.0001)  IoU (C channel): 0.0000 (0.0001)  L1 (Db channel): 0.4355 (0.4706)  L1 (Dn channel): 0.3322 (0.3229)  lr: 0.000601  iter-time: 0.4406
[14:07:16.858423] Epoch: [5]  [457/458]  eta: 0:00:00  loss: 0.3236 (0.4661)  IoU (F channel): 0.0000 (0.0001)  IoU (C channel): 0.0000 (0.0001)  L1 (Db channel): 0.4334 (0.4701)  L1 (Dn channel): 0.3277 (0.3230)  lr: 0.000604  iter-time: 0.4281
[14:07:17.152481] Epoch: [5] Total time: 0:03:25 (0.4479 s / it)
[14:07:17.152538] [Train] averaged stats: loss: 0.3236 (0.4661)  IoU (F channel): 0.0000 (0.0001)  IoU (C channel): 0.0000 (0.0001)  L1 (Db channel): 0.4334 (0.4701)  L1 (Dn channel): 0.3277 (0.3230)  lr: 0.000604
[14:07:19.029521] Epoch: [5]  [ 0/52]  eta: 0:01:37  loss: 0.0700 (0.0700)  IoU (F channel): 0.0000 (0.0000)  IoU (C channel): 0.0000 (0.0000)  L1 (Db channel): 0.5699 (0.5699)  L1 (Dn channel): 0.4202 (0.4202)  iter-time: 1.8758
[14:07:20.758668] Epoch: [5]  [10/52]  eta: 0:00:13  loss: 0.3145 (0.2728)  IoU (F channel): 0.0000 (0.0000)  IoU (C channel): 0.0000 (0.0000)  L1 (Db channel): 0.5262 (0.5139)  L1 (Dn channel): 0.3768 (0.3710)  iter-time: 0.3277
[14:07:22.391420] Epoch: [5]  [20/52]  eta: 0:00:07  loss: 0.4381 (0.3686)  IoU (F channel): 0.0000 (0.0000)  IoU (C channel): 0.0000 (0.0000)  L1 (Db channel): 0.4393 (0.4636)  L1 (Dn channel): 0.2905 (0.3215)  iter-time: 0.1681
[14:07:23.993695] Epoch: [5]  [30/52]  eta: 0:00:04  loss: 0.4124 (0.3136)  IoU (F channel): 0.0000 (0.0000)  IoU (C channel): 0.0000 (0.0000)  L1 (Db channel): 0.4464 (0.4836)  L1 (Dn channel): 0.2969 (0.3453)  iter-time: 0.1617
[14:07:25.605469] Epoch: [5]  [40/52]  eta: 0:00:02  loss: 0.3459 (0.3607)  IoU (F channel): 0.0000 (0.0000)  IoU (C channel): 0.0000 (0.0001)  L1 (Db channel): 0.4577 (0.4691)  L1 (Dn channel): 0.3268 (0.3349)  iter-time: 0.1607
[14:07:27.176159] Epoch: [5]  [50/52]  eta: 0:00:00  loss: 0.4752 (0.3639)  IoU (F channel): 0.0000 (0.0000)  IoU (C channel): 0.0000 (0.0001)  L1 (Db channel): 0.4281 (0.4703)  L1 (Dn channel): 0.3065 (0.3390)  iter-time: 0.1591
[14:07:27.267407] Epoch: [5]  [51/52]  eta: 0:00:00  loss: 0.4360 (0.3582)  IoU (F channel): 0.0000 (0.0000)  IoU (C channel): 0.0000 (0.0001)  L1 (Db channel): 0.4281 (0.4720)  L1 (Dn channel): 0.3065 (0.3407)  iter-time: 0.1559
[14:07:27.550641] Epoch: [5] Total time: 0:00:10 (0.1999 s / it)
[14:07:27.550663] [Val] averaged stats: loss: 0.4360 (0.3582)  IoU (F channel): 0.0000 (0.0000)  IoU (C channel): 0.0000 (0.0001)  L1 (Db channel): 0.4281 (0.4720)  L1 (Dn channel): 0.3065 (0.3407)
[14:07:27.551283] Val loss improved from 0.5588592852537448 to 0.35822805676322717, saving model to ./BiaPy/results/train_Dn_3d_instance_segmentation/checkpoints/train_Dn_3d_instance_segmentation_1-checkpoint-best.pth
[14:07:27.652183] [Val] best loss: 0.3582 best  IoU (F channel): 0.0000 IoU (C channel): 0.0001 L1 (Db channel): 0.4720 L1 (Dn channel): 0.3407 
[14:07:27.660982] Creating training plots . . .
[14:07:35.860031] [Time] 3.7m 19.3m/1.9h

[14:07:35.860062] ~~~ Epoch 6/30 ~~~

[14:07:39.126882] Epoch: [6]  [  0/458]  eta: 0:24:55  loss: 0.2948 (0.2948)  IoU (F channel): 0.0000 (0.0000)  IoU (C channel): 0.0001 (0.0001)  L1 (Db channel): 0.4205 (0.4205)  L1 (Dn channel): 0.3304 (0.3304)  lr: 0.000604  iter-time: 3.2655
